[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -3.699644, xSensAcc2: 0.011863, xSensYaw: -2.297119, rateOfTurn: 0.610168, wheelSp1: %&7f, wheelSp2: -3.241643, wheelSp3: -4.109915, wheelSp4: -7.119996

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -2.090714, xSensAcc2: -0.189792, xSensYaw: -2.354488, rateOfTurn: -0.820647, wheelSp1: %&7f, wheelSp2: -7.930409, wheelSp3: -7.177878, wheelSp4: -8.219841

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: 1.606892, xSensAcc2: -0.885397, xSensYaw: -2.431881, rateOfTurn: -2.275046, wheelSp1: %&7f, wheelSp2: -12.619177, wheelSp3: -9.666977, wheelSp4: -11.519331

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: 3.908563, xSensAcc2: 1.729757, xSensYaw: -2.474629, rateOfTurn: -2.868439, wheelSp1: %&7f, wheelSp2: -12.792822, wheelSp3: -11.229899, wheelSp4: -12.850726

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: -3.104482, xSensAcc2: 0.604067, xSensYaw: -2.565293, rateOfTurn: -3.744371, wheelSp1: %&7f, wheelSp2: -13.776903, wheelSp3: -13.198040, wheelSp4: -13.198040

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: 0.741903, xSensAcc2: -0.743743, xSensYaw: -2.659846, rateOfTurn: -4.251709, wheelSp1: %&7f, wheelSp2: -14.471531, wheelSp3: -13.545354, wheelSp4: -13.892667

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: 1.048937, xSensAcc2: -2.804946, xSensYaw: -2.706621, rateOfTurn: -4.429731, wheelSp1: %&7f, wheelSp2: -12.734940, wheelSp3: -13.776903, wheelSp4: -14.645176

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: -1.501746, xSensAcc2: 0.659085, xSensYaw: -2.802734, rateOfTurn: -4.623190, wheelSp1: %&7f, wheelSp2: -15.108275, wheelSp3: -14.239981, wheelSp4: -13.082253

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: 2.067618, xSensAcc2: 0.951381, xSensYaw: -2.893701, rateOfTurn: -4.659209, wheelSp1: %&7f, wheelSp2: -13.140159, wheelSp3: -14.008430, wheelSp4: -13.603235

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: 0.349141, xSensAcc2: 0.956713, xSensYaw: -2.939103, rateOfTurn: -4.638417, wheelSp1: %&7f, wheelSp2: -12.445508, wheelSp3: -13.603235, wheelSp4: -13.198040

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: -1.148798, xSensAcc2: -1.799141, xSensYaw: -3.024505, rateOfTurn: -4.504027, wheelSp1: %&7f, wheelSp2: -12.792822, wheelSp3: -13.024371, wheelSp4: -12.156076

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: -1.353130, xSensAcc2: -1.212198, xSensYaw: -3.103784, rateOfTurn: -4.289311, wheelSp1: %&7f, wheelSp2: -10.998372, wheelSp3: -11.229899, wheelSp4: -11.461450

