[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.149520, xSensAcc2: -0.782136, xSensYaw: -0.211352, rateOfTurn: 0.490423, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 1.273479, wheelSp4: 2.778519

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.149520, xSensAcc2: -0.782136, xSensYaw: -0.211352, rateOfTurn: 0.490423, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 1.273479, wheelSp4: 2.778519

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.149520, xSensAcc2: -0.782136, xSensYaw: -0.211352, rateOfTurn: 0.490423, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 1.273479, wheelSp4: 2.778519

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.149520, xSensAcc2: -0.782136, xSensYaw: -0.211352, rateOfTurn: 0.490423, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 1.273479, wheelSp4: 2.778519

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.149520, xSensAcc2: -0.782136, xSensYaw: -0.211352, rateOfTurn: 0.490423, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 1.273479, wheelSp4: 2.778519

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.149520, xSensAcc2: -0.782136, xSensYaw: -0.211352, rateOfTurn: 0.490423, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 1.273479, wheelSp4: 2.778519

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.075984, xSensAcc2: 0.487862, xSensYaw: -0.180223, rateOfTurn: 0.160781, wheelSp1: %&7f, wheelSp2: -1.215620, wheelSp3: 0.405184, wheelSp4: 1.273479

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.532193, xSensAcc2: -0.431074, xSensYaw: -0.179315, rateOfTurn: 0.107556, wheelSp1: %&7f, wheelSp2: 0.926165, wheelSp3: 0.173657, wheelSp4: -0.578875

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.189862, xSensAcc2: -0.034121, xSensYaw: -0.179152, rateOfTurn: 0.083365, wheelSp1: %&7f, wheelSp2: 2.315443, wheelSp3: -0.000012, wheelSp4: -0.057893

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.622857, xSensAcc2: 0.600854, xSensYaw: -0.180129, rateOfTurn: 0.043667, wheelSp1: %&7f, wheelSp2: -1.273502, wheelSp3: 0.057870, wheelSp4: 0.636734

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.286028, xSensAcc2: -1.357973, xSensYaw: -0.178500, rateOfTurn: 0.053679, wheelSp1: %&7f, wheelSp2: -0.578875, wheelSp3: 0.405184, wheelSp4: -0.520994

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.150979, xSensAcc2: -0.410702, xSensYaw: -0.176916, rateOfTurn: 0.059267, wheelSp1: %&7f, wheelSp2: 1.620792, wheelSp3: 0.057870, wheelSp4: 0.405184

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.718574, xSensAcc2: -0.545045, xSensYaw: -0.176614, rateOfTurn: 0.075542, wheelSp1: %&7f, wheelSp2: -1.099857, wheelSp3: 0.115752, wheelSp4: 0.173657

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.198686, xSensAcc2: 0.347604, xSensYaw: -0.282645, rateOfTurn: 0.081712, wheelSp1: %&7f, wheelSp2: 0.347302, wheelSp3: 0.289420, wheelSp4: -0.000012

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.612589, xSensAcc2: 0.993127, xSensYaw: -0.274961, rateOfTurn: 0.152539, wheelSp1: %&7f, wheelSp2: 1.736579, wheelSp3: 0.926165, wheelSp4: 1.215597

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.218546, xSensAcc2: 0.603066, xSensYaw: -0.270421, rateOfTurn: 0.219222, wheelSp1: %&7f, wheelSp2: 0.520970, wheelSp3: 1.099834, wheelSp4: 1.620792

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.582065, xSensAcc2: -0.216987, xSensYaw: -0.258896, rateOfTurn: 0.387162, wheelSp1: %&7f, wheelSp2: 1.331361, wheelSp3: 1.447147, wheelSp4: 1.389266

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.055410, xSensAcc2: 0.271329, xSensYaw: -0.242039, rateOfTurn: 0.532356, wheelSp1: %&7f, wheelSp2: 1.852342, wheelSp3: 1.736579, wheelSp4: 1.273479

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.858877, xSensAcc2: -0.659039, xSensYaw: -0.230817, rateOfTurn: 0.555103, wheelSp1: %&7f, wheelSp2: 1.389266, wheelSp3: 1.794461, wheelSp4: 1.736579

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.208186, xSensAcc2: 0.555569, xSensYaw: -0.219571, rateOfTurn: 0.560086, wheelSp1: %&7f, wheelSp2: 1.968106, wheelSp3: 1.852342, wheelSp4: 1.447147

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.569585, xSensAcc2: 0.006414, xSensYaw: -0.213331, rateOfTurn: 0.573683, wheelSp1: %&7f, wheelSp2: 1.562911, wheelSp3: 1.794461, wheelSp4: 1.852342

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.618736, xSensAcc2: -0.066019, xSensYaw: -0.186695, rateOfTurn: 0.646093, wheelSp1: %&7f, wheelSp2: 1.562911, wheelSp3: 1.736579, wheelSp4: 1.910224

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.363903, xSensAcc2: -0.807212, xSensYaw: -0.180409, rateOfTurn: 0.660436, wheelSp1: %&7f, wheelSp2: 1.910224, wheelSp3: 1.968106, wheelSp4: 1.736579

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.301970, xSensAcc2: -0.118965, xSensYaw: -0.168278, rateOfTurn: 0.652287, wheelSp1: %&7f, wheelSp2: 1.910224, wheelSp3: 1.678674, wheelSp4: 1.562911

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.539108, xSensAcc2: -0.801042, xSensYaw: -0.146253, rateOfTurn: 0.316568, wheelSp1: %&7f, wheelSp2: 0.347302, wheelSp3: 0.636734, wheelSp4: 0.578852

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.087905, xSensAcc2: -0.049348, xSensYaw: -0.147906, rateOfTurn: 0.101363, wheelSp1: %&7f, wheelSp2: -0.289443, wheelSp3: -0.000012, wheelSp4: 0.231538

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.366021, xSensAcc2: 0.335544, xSensYaw: -0.149978, rateOfTurn: -0.016426, wheelSp1: %&7f, wheelSp2: 0.173657, wheelSp3: -0.173680, wheelSp4: -0.173680

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.522227, xSensAcc2: -0.717456, xSensYaw: -0.149396, rateOfTurn: -0.022410, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.057893, wheelSp4: 0.057870

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.291353, xSensAcc2: 0.259595, xSensYaw: -0.149140, rateOfTurn: -0.003225, wheelSp1: %&7f, wheelSp2: 0.173657, wheelSp3: 0.057870, wheelSp4: 0.115752

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: -0.317825, xSensAcc2: 0.380108, xSensYaw: -0.148930, rateOfTurn: 0.020780, wheelSp1: %&7f, wheelSp2: -0.463112, wheelSp3: 0.115752, wheelSp4: 0.405184

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: 0.018405, xSensAcc2: 0.194914, xSensYaw: -0.147044, rateOfTurn: 0.048208, wheelSp1: %&7f, wheelSp2: 0.057870, wheelSp3: 0.115752, wheelSp4: 0.289420

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: -0.271585, xSensAcc2: 0.294868, xSensYaw: -0.068953, rateOfTurn: 0.047206, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: 0.115752, wheelSp4: 0.405184

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: 0.270328, xSensAcc2: -0.136148, xSensYaw: -0.068464, rateOfTurn: 0.052841, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: 0.173657, wheelSp4: 0.115752

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: -0.158569, xSensAcc2: -0.053470, xSensYaw: -0.067626, rateOfTurn: 0.046322, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.115775, wheelSp4: -0.347325

